id,latitude,longitude,address,event_type,event_cause,priority,requires_road_closure,status,corridor,zone,junction,start_datetime,closed_datetime,police_station,hour,day_of_week,is_peak_hour,severity_score,duration_mins,corridor_incident_count,zone_incident_count,is_active
FKID000029,12.9667073,77.6615616,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",unplanned,pot_holes,Low,False,active,,,,2024-01-30 08:31:37.367000+00:00,,Jeevanbheemanagar,8.0,Tuesday,1,3,,1.0,1.0,1
FKID000030,12.9666867,77.6616478,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",unplanned,pot_holes,Low,False,active,Non-corridor,,,2024-01-30 08:33:55.212000+00:00,,Jeevanbheemanagar,8.0,Tuesday,1,3,,3124.0,1.0,1
FKID000031,12.907814,77.6006561,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",unplanned,vehicle_breakdown,High,True,closed,Bannerghata Road,,,2024-01-30 08:08:05.581000+00:00,,Mico Layout,8.0,Tuesday,1,6,,209.0,1.0,0
FKID000032,12.8955737,77.5993711,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",unplanned,vehicle_breakdown,High,False,closed,Bannerghata Road,,,2024-01-30 05:43:18.534000+00:00,,J.P. Nagar,5.0,Tuesday,1,3,,209.0,1.0,0
FKID000033,12.92757,77.5832051,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",unplanned,tree_fall,Low,False,closed,Non-corridor,,,2024-03-07 20:06:03.523000+00:00,2024-03-09 20:33:44.935343+00:00,Jayanagara,20.0,Thursday,1,3,2907.6902057166667,3124.0,1.0,0
FKID000034,13.044697,77.5828546,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",unplanned,congestion,High,False,closed,ORR North 2,,,2024-01-30 05:38:15.485000+00:00,,Kodigehalli,5.0,Tuesday,1,5,,235.0,1.0,0
FKID000035,12.9666885,77.6616396,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",unplanned,pot_holes,Low,False,active,,,,2024-01-30 08:35:57.672000+00:00,,Jeevanbheemanagar,8.0,Tuesday,1,3,,1.0,1.0,1
FKID000036,12.9789228,77.5644032,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",unplanned,vehicle_breakdown,High,False,closed,Magadi Road,,,2024-03-07 20:17:50.952000+00:00,,Magadi Road,20.0,Thursday,1,3,,245.0,1.0,0
FKID000037,12.8636494,77.6725849,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",unplanned,accident,Low,False,closed,Non-corridor,,,2024-01-30 03:52:59.126038+00:00,,Electronic City,3.0,Tuesday,0,6,,3124.0,1.0,0
FKID000038,12.9219483,77.6002467,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",unplanned,vehicle_breakdown,High,False,closed,Bannerghata Road,,,2024-01-30 15:15:10.139000+00:00,,Mico Layout,15.0,Tuesday,0,3,,209.0,1.0,0
FKID000039,12.9666597,77.661556,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",unplanned,pot_holes,Low,False,active,,,,2024-01-30 08:37:16.322000+00:00,,Jeevanbheemanagar,8.0,Tuesday,1,3,,1.0,1.0,1
FKID000040,12.946469,77.6986754,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",planned,construction,High,False,closed,ORR East 1,,,2024-01-30 11:31:12.848000+00:00,,HAL Old Airport,11.0,Tuesday,0,5,,244.0,1.0,0
FKID000041,12.9936273,77.5844677,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,others,High,True,closed,Bellary Road 1,,,2024-03-07 20:20:31.140000+00:00,2024-03-07 22:06:56.289070+00:00,High ground,20.0,Thursday,1,6,106.41915116666668,610.0,1.0,0
FKID000042,12.9465079,77.6986339,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",unplanned,vehicle_breakdown,High,False,closed,ORR East 1,,,2024-01-30 20:38:19.329000+00:00,,HAL Old Airport,20.0,Tuesday,1,3,,244.0,1.0,0
FKID000043,13.0467058,77.5036495,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-03-07 18:29:50.857000+00:00,,Chikkabanavara,18.0,Thursday,0,2,,3124.0,1.0,0
FKID000044,13.0166142,77.5054464,"14th Cross Road, Industrial Area Stage 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,West Zone 1,Peenya14thCrossJunc,2023-12-28 06:06:26.375000+00:00,,Peenya,6.0,Thursday,1,2,,3124.0,433.0,0
FKID000045,13.0085677,77.6131497,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",planned,construction,Low,True,closed,Non-corridor,,,2024-01-30 21:21:10.303000+00:00,,K.G. Halli,21.0,Tuesday,1,7,,3124.0,1.0,0
FKID000046,13.0309717,77.5364661,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",unplanned,vehicle_breakdown,High,False,closed,Tumkur Road,,,2024-01-30 19:33:25.417000+00:00,,Yeshwanthpura,19.0,Tuesday,1,3,,458.0,1.0,0
FKID000047,13.0262806,77.5442344,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",unplanned,others,High,False,closed,Tumkur Road,,,2024-03-07 20:27:15.443000+00:00,2024-03-07 22:40:47.232952+00:00,Yeshwanthpura,20.0,Thursday,1,3,133.52983253333335,458.0,1.0,0
FKID000048,12.9938639,77.5844374,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,tree_fall,High,False,closed,Bellary Road 1,,,2024-03-07 20:41:41.999000+00:00,2024-03-09 03:11:00.032388+00:00,High ground,20.0,Thursday,1,4,1829.3005564666666,610.0,1.0,0
FKID000049,12.9188682,77.6687736,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",unplanned,vehicle_breakdown,High,False,closed,ORR East 1,,,2024-01-30 21:27:52.454000+00:00,2024-01-30 22:23:24.957711+00:00,Bellandur,21.0,Tuesday,1,3,55.541728516666666,244.0,1.0,0
FKID000050,12.9546127,77.6423399,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",unplanned,congestion,High,False,closed,IRR(Thanisandra road),,,2024-01-30 20:46:34.356000+00:00,,Jeevanbheemanagar,20.0,Tuesday,1,5,,95.0,1.0,0
FKID000051,12.936133,77.5187044,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",unplanned,vehicle_breakdown,High,False,closed,Mysore Road,,,2024-01-30 21:13:55.445000+00:00,,Byatarayanapura,21.0,Tuesday,1,3,,743.0,1.0,0
FKID000052,12.9694079,77.7006346,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",planned,construction,High,False,closed,ORR East 2,,,2024-01-30 20:56:01.732000+00:00,,HAL Old Airport,20.0,Tuesday,1,5,,187.0,1.0,0
FKID000053,12.9849833,77.5883633,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,vehicle_breakdown,High,False,closed,Bellary Road 1,,,2024-01-30 21:47:40.463000+00:00,2024-01-30 22:57:00.255562+00:00,High ground,21.0,Tuesday,1,3,69.32987603333332,610.0,1.0,0
FKID000054,13.0127301,77.5545135,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",unplanned,vehicle_breakdown,High,False,closed,West of Chord Road,,,2024-03-07 20:42:57.607000+00:00,,Malleshwaram,20.0,Thursday,1,3,,174.0,1.0,0
FKID000055,12.9842019,77.7336286,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",unplanned,road_conditions,Low,False,closed,Non-corridor,,,2024-01-30 21:54:56.083000+00:00,2024-01-30 22:56:12.701247+00:00,Whitefield,21.0,Tuesday,1,3,61.27697078333333,3124.0,1.0,0
FKID000056,13.2644465,77.7187627,"Bangalore Bellary Road, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)",unplanned,vehicle_breakdown,Low,True,closed,Non-corridor,,,2024-01-30 19:36:33.702000+00:00,,Devanahalli Airport,19.0,Tuesday,1,5,,3124.0,1.0,0
FKID000057,12.9848257,77.7527586,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-01-30 22:06:02.276000+00:00,2024-01-30 22:42:27.016248+00:00,Mahadevapura,22.0,Tuesday,1,2,36.41233746666667,3124.0,1.0,0
FKID000058,12.9932986,77.5837571,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,tree_fall,High,False,closed,Bellary Road 1,,,2024-03-07 20:51:39.532000+00:00,2024-03-09 03:10:44.241252+00:00,High ground,20.0,Thursday,1,4,1819.0784875333334,610.0,1.0,0
FKID000059,12.9937523,77.5842482,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,tree_fall,High,False,closed,Bellary Road 1,,,2024-03-07 20:47:40.640000+00:00,2024-03-09 03:10:47.308123+00:00,High ground,20.0,Thursday,1,4,1823.1111353833332,610.0,1.0,0
FKID000060,12.9938868,77.5841876,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,tree_fall,High,False,closed,Bellary Road 1,,,2024-03-07 20:45:19.752000+00:00,2024-03-09 03:10:58.037069+00:00,High ground,20.0,Thursday,1,4,1825.6380844833334,610.0,1.0,0
FKID000061,12.9368467,77.6928653,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",unplanned,vehicle_breakdown,High,False,resolved,ORR East 1,,,2024-01-30 23:05:02.339000+00:00,,HAL Old Airport,23.0,Tuesday,0,3,,244.0,1.0,0
FKID000062,13.0126766,77.5581246,"1st Cross Road, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",unplanned,tree_fall,Low,True,closed,Non-corridor,,,2024-03-07 20:53:37.293000+00:00,2024-03-23 05:38:25.456414+00:00,Malleshwaram,20.0,Thursday,1,6,22124.802723566667,3124.0,1.0,0
FKID000063,12.9513113,77.4994888,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-01-30 23:12:23.123000+00:00,2024-01-31 00:35:36.782614+00:00,Jnanabharathi,23.0,Tuesday,0,2,83.22766023333334,3124.0,1.0,0
FKID000064,13.0160964,77.5068555,"14th Cross Road, Industrial Area Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-01-30 21:21:57.881000+00:00,,Peenya,21.0,Tuesday,1,2,,3124.0,1.0,0
FKID000065,12.9807501,77.6028238,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,pot_holes,High,False,active,CBD 1,,,2024-03-07 21:05:54.697000+00:00,,Shivajinagar,21.0,Thursday,1,4,,26.0,1.0,1
FKID000066,12.9165983,77.583705,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",unplanned,tree_fall,Low,False,closed,Non-corridor,,,2024-03-07 20:58:06.297000+00:00,2024-03-08 02:19:20.587942+00:00,J.P. Nagar,20.0,Thursday,1,3,321.23818236666665,3124.0,1.0,0
FKID000067,13.0198619,77.6562235,"Horamavu Main Road, Another Sky by Living Walls, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",unplanned,pot_holes,High,False,active,,,,2024-01-31 01:04:36.275000+00:00,,Hennuru,1.0,Wednesday,0,4,,1.0,1.0,1
FKID000068,13.0191848,77.6555127,"MBT Road, Peddanna Reddy Layout, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",unplanned,pot_holes,High,False,active,ORR North 1,,,2024-01-31 01:01:36.195000+00:00,,Hennuru,1.0,Wednesday,0,4,,275.0,1.0,1
FKID000069,12.9740913,77.5452252,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",unplanned,vehicle_breakdown,High,False,closed,West of Chord Road,,,2024-01-31 00:33:27.663000+00:00,2024-01-31 01:17:38.964363+00:00,Vijayanagara,0.0,Wednesday,0,3,44.18835605,174.0,1.0,0
FKID000070,12.9740971,77.5449011,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",unplanned,vehicle_breakdown,High,False,closed,West of Chord Road,,,2024-01-31 00:36:02.277000+00:00,2024-01-31 01:17:50.142637+00:00,Vijayanagara,0.0,Wednesday,0,3,41.797760616666665,174.0,1.0,0
FKID000071,12.9688926,77.569795,"Binny Mill Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-01-31 01:24:44.373000+00:00,2024-01-31 01:50:53.884849+00:00,Chamarajpet,1.0,Wednesday,0,2,26.158530816666666,3124.0,1.0,0
FKID000072,12.9838737,77.5286068,"G Narayana Kumar Road, Soundarya Kamakshi, Karekallu, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)",unplanned,pot_holes,High,False,closed,Magadi Road,,,2024-01-30 23:46:07.351000+00:00,2024-02-05 23:45:54.337700+00:00,Kamakshipalya,23.0,Tuesday,0,4,8639.783111666668,245.0,1.0,0
FKID000073,12.9595586,77.5162093,"Nagarabhavi Main Road, Block 1 Manasa Nagar, Nagarbhavi Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",unplanned,others,Low,False,closed,Non-corridor,,,2024-01-30 23:23:41.783000+00:00,2024-02-14 06:53:06.703545+00:00,Byatarayanapura,23.0,Tuesday,0,2,20609.415342416665,3124.0,1.0,0
FKID000074,12.9511354,77.5739687,"DTV Dwarakanatha Road, BNV Subramanya Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-01-30 22:39:37.276000+00:00,,V.V.Puram (C.Pet),22.0,Tuesday,1,2,,3124.0,1.0,0
FKID000075,13.0192138,77.5395595,"Kanteerava Studio Road, Police Quarters, Krishnananda Nagar, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-01-30 23:11:03.886000+00:00,,Rajajinagar,23.0,Tuesday,0,2,,3124.0,1.0,0
FKID000076,12.9161187,77.5856548,"47th Cross Road, Sri Aurobindo Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",unplanned,pot_holes,Low,False,closed,Non-corridor,,,2024-03-07 21:11:51.734000+00:00,2024-03-11 21:05:57.351976+00:00,J.P. Nagar,21.0,Thursday,1,3,5754.0936329333335,3124.0,1.0,0
FKID000077,12.9284355,77.6811918,"Outer Ring Road, Sterling Ascentia, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",unplanned,vehicle_breakdown,High,True,closed,ORR East 1,,,2024-01-30 23:18:30.880000+00:00,,Bellandur,23.0,Tuesday,0,6,,244.0,1.0,0
FKID000078,13.0753282,77.4370383,"Dr Vishnuvardhan Road, Dasanapura, Bengaluru, Karnataka. Pin-562162 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-03-07 19:23:40.435000+00:00,,No Police Station,19.0,Thursday,1,2,,3124.0,1.0,0
FKID000079,13.2673624,77.7195893,"Srinagar Kanyakumari Highway, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-03-07 19:23:25.400000+00:00,,Devanahalli Airport,19.0,Thursday,1,2,,3124.0,1.0,0
FKID000080,12.9449039,77.4949618,"Kengeri Main Road, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",unplanned,others,Low,False,closed,Non-corridor,,,2024-03-07 21:25:26.425000+00:00,2024-03-07 21:41:19.772509+00:00,Jnanabharathi,21.0,Thursday,1,2,15.88912515,3124.0,1.0,0
FKID000081,12.9873133,77.6163481,"St John Road, Field Marshal Manekshaw Enclave, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",unplanned,tree_fall,Low,False,closed,Non-corridor,,,2024-03-07 21:17:00.312000+00:00,2024-03-07 23:13:49.030632+00:00,Pulikeshinagar(F.Town),21.0,Thursday,1,3,116.8119772,3124.0,1.0,0
